boro_Brooklyn,room_Shared room,room_Private room,availability_365_scaled,never_reviewed,boro_Staten Island,boro_Queens,boro_Manhattan,host_small,host_individual,geo_3,geo_1,price_log,price,neighbourhood,neighbourhood_group,room_type,geo_cluster_raw,host_scale_raw
True,False,True,1.962918920420432,0,False,False,False,False,False,False,False,5.010635294096256,149,Kensington,Brooklyn,Private room,5,commercial
False,False,False,1.8861446202343184,0,False,False,True,True,False,False,True,5.420534999272286,225,Midtown,Manhattan,Entire home/apt,1,small
False,False,True,1.962918920420432,1,False,False,True,False,True,False,False,5.017279836814924,150,Harlem,Manhattan,Private room,2,individual
True,False,False,0.6500783872378927,0,False,False,False,False,True,False,False,4.499809670330265,89,Clinton Hill,Brooklyn,Entire home/apt,5,individual
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,False,4.394449154672439,80,East Harlem,Manhattan,Entire home/apt,2,individual
False,False,False,0.1510454360281557,0,False,False,True,False,True,False,True,5.303304908059076,200,Murray Hill,Manhattan,Entire home/apt,1,individual
True,False,True,-0.8393430363727069,0,False,False,False,False,True,False,False,4.110873864173311,60,Bedford-Stuyvesant,Brooklyn,Private room,5,individual
False,False,True,0.8496915677217874,0,False,False,True,False,True,False,True,4.382026634673881,79,Hell's Kitchen,Manhattan,Private room,1,individual
False,False,True,-0.8393430363727069,0,False,False,True,False,True,False,False,4.382026634673881,79,Upper West Side,Manhattan,Private room,2,individual
False,False,False,0.6040138071262247,0,False,False,True,True,False,False,True,5.017279836814924,150,Chinatown,Manhattan,Entire home/apt,1,small
False,False,False,-0.7932784562610389,0,False,False,True,False,True,False,False,4.912654885736052,135,Upper West Side,Manhattan,Entire home/apt,2,individual
False,False,True,-0.5399232656468648,0,False,False,True,False,True,False,True,4.454347296253507,85,Hell's Kitchen,Manhattan,Private room,1,individual
True,False,True,1.5713699894712532,0,False,False,False,True,False,False,False,4.499809670330265,89,South Slope,Brooklyn,Private room,5,small
False,False,True,1.7172411598248687,0,False,False,True,False,True,False,False,4.454347296253507,85,Upper West Side,Manhattan,Private room,2,individual
False,False,False,-0.8393430363727069,0,False,False,True,False,True,False,True,4.795790545596741,120,West Village,Manhattan,Entire home/apt,1,individual
True,False,False,-0.4861812555165853,0,False,False,False,False,True,False,False,4.948759890378168,140,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,False,1.6251119996015326,0,False,False,False,False,True,False,False,5.375278407684165,215,Fort Greene,Brooklyn,Entire home/apt,5,individual
False,False,True,-0.7472138761493708,0,False,False,True,False,True,False,True,4.948759890378168,140,Chelsea,Manhattan,Private room,1,individual
True,False,False,-0.6781170059818687,0,False,False,False,False,True,False,False,4.605170185988092,99,Crown Heights,Brooklyn,Entire home/apt,5,individual
False,False,False,1.0723370382615165,1,False,False,True,True,False,False,False,5.25227342804663,190,East Harlem,Manhattan,Entire home/apt,2,small
True,False,False,-0.8393430363727069,0,False,False,False,False,True,False,False,5.703782474656201,299,Williamsburg,Brooklyn,Entire home/apt,0,individual
True,False,True,1.8247251800854276,0,False,False,False,False,False,False,False,4.875197323201151,130,Park Slope,Brooklyn,Private room,5,commercial
True,False,True,1.9552414904018205,0,False,False,False,False,False,False,False,4.394449154672439,80,Park Slope,Brooklyn,Private room,5,commercial
True,False,True,1.49459568928514,0,False,False,False,False,False,False,False,4.709530201312334,110,Park Slope,Brooklyn,Private room,5,commercial
True,False,False,0.9494981579637348,0,False,False,False,True,False,False,False,4.795790545596741,120,Bedford-Stuyvesant,Brooklyn,Entire home/apt,0,small
True,False,True,-0.1867614847907431,0,False,False,False,True,False,False,False,4.110873864173311,60,Windsor Terrace,Brooklyn,Private room,5,small
False,False,True,-0.8393430363727069,1,False,False,True,False,True,False,False,4.394449154672439,80,Inwood,Manhattan,Private room,2,individual
False,False,False,-0.2635357849768565,0,False,False,True,False,True,False,True,5.017279836814924,150,Hell's Kitchen,Manhattan,Entire home/apt,1,individual
False,False,True,1.5483376994154192,0,False,False,True,True,False,False,False,3.80666248977032,44,Inwood,Manhattan,Private room,2,small
False,False,False,-0.3249552251257472,0,False,False,True,False,True,False,True,5.198497031265826,180,East Village,Manhattan,Entire home/apt,1,individual
False,False,True,1.8861446202343184,0,False,False,True,True,False,False,False,3.9318256327243257,50,Harlem,Manhattan,Private room,2,small
False,False,True,1.1184016183731844,0,False,False,True,False,True,False,False,3.970291913552122,52,Harlem,Manhattan,Private room,2,individual
True,False,True,1.3410470889129131,0,False,False,False,True,False,False,False,4.02535169073515,55,Greenpoint,Brooklyn,Private room,0,small
False,False,True,1.9168543403087637,0,False,False,True,True,False,False,False,3.9318256327243257,50,Harlem,Manhattan,Private room,2,small
